Island_Name,Acreage,Country
Island of Patroklos,643,Greece
Rangyai Island,110,Thailand
Pumpkin Key,26,Florida
Spectabilis Island,460,Bahamas
Cave Cay,222,Bahamas
Vouvalos Island,32,Greece
Schulzewerder Island,21,Poland
Kandoo Island,42,Maldives
Nengo Nengo Atoll,2223,French Polynesia
Isla Rancheria,310,Panama
Isla San Pedro,16000,Chile
Schloss Island,82,British Columbia
Verde Island Resort,274,Philippines
Ginger Island,258,British Virgin Islands
Long Island,4600,South Carolina
Tojo Una Una Island,3089,Indonesia
Big Scrub Island,170,British Virgin Islands
Ngerbelas Island,21,Palau
Blue Dolphin Island,104,Panama
The World Islands - Dubai,0,United Arab Emirates
Gopher Key Florida,10,Florida
Barefoot Cay Resort,8,Honduras
Pelican Island,32,Antigua
The Ocean Flower,0,Maldives
Mounu Island Resort,7,Tonga
Treasure Cove,75,Belize
Amillarah Private Islands,0,Maldives
Vadinolhu Island Resort,19,Maldives
Taveuni Island Resort & Spa,8,Fiji
"Blackbook Listing
(2521)",0,SVG
Darby Island,554,Bahamas
Dulichium Island,1335,Greece
"Blackbook Listing
(2106)",0,Turks and Caicos
Organica Beach,1492,Panama
Little Ragged Island,700,Bahamas
Frozen Cay and Alder Cay,84,Bahamas
Kanacea Island,3085,Fiji
Nusa Riro,22,Solomon Islands
Leaf Cay Private Residences,15,Bahamas
St. Phillips Island,4680,South Carolina
Pakatoa Island,60,New Zealand
Broad Key,63,Florida
Whale Cay,575,Bahamas
Ile de Caille,400,Grenada
Guafo Island,49422,Chile
"Blackbook Listing
(2520)",0,SVG
Half Moon Cay,10,Honduras
Jwycesska Island,351,Bahamas
Lumbar Cay,30,Bahamas
Violin Island,321,Mexico
Gumelemi Cay,8,Bahamas
Hopkins Island,13,Florida
Frozen Cay,40,Bahamas
St. Thomas,300,Greece
Charles Island,55,Bahamas
World Island Project (D98),12,United Arab Emirates
St. John's Island,750,Greece
Palm Island,4,Florida
Cebaco Island,7410,Panama
"Blackbook Listing
(2538)",0,Belize
"Blackbook Listing
(2602)",0,Fiji
Alder Cay,43,Bahamas
East Sister Rock,1,Florida
Terra's Key,16,Florida
Big Sampson Cay,121,Bahamas
Petit Nevis,71,SVG
Walker's Cay,58,Bahamas
Wavi Island,27,Fiji
Shelter Island Estate,22,Montana
Nissos Makri,245,Greece
"Blackbook Listing
(2304)",0,Bahamas
False Caye,60,Belize
Saddleback Cay,47,Bahamas
Pepin Island,1280,New Zealand
The Duke Group Archipelago,3300,Australia
Northern Aegean Island,34,Greece
Spalathronisi Island,26,Greece
Isla Puerco,160,Panama
Nakacha Huraa Lagoon,29,Maldives
Batchawana Island,5200,Ontario
Kuramaadhoo Island,44,Maldives
Keraamithaa Island,103,Maldives
Deer Cay,603,Belize
Thompson Island,5,Florida
Tavernier Key,31,Florida
Water Caye,567,Belize
"Blackbook Listing
(2096)",0,Seychelles
Belle Island & Cubbage Island,264,Georgia
Blue Island,700,Bahamas
Young Island Resort,13,SVG
Lambay Cay,7,Honduras
Lataro Island,719,Vanuatu
Great Sale Cay,370,Bahamas
Jim Cay,8,Bahamas
Isla Di Yerba,8,Curacao
Trump Island,29,Washington
Leaf Cay,30,Bahamas
Nukudrau Island,46,Fiji
Roberts Cay,20,Bahamas
Sandy Cay,8,Bahamas
Sipson Island,25,Massachusetts
Devils Cay,117,Bahamas
Hope Island,86,Maine
Hog Island,237,Florida
Powell Cay,294,Bahamas
Kaashihulhudhoo Island,38,Maldives
Kato Antikeri Island,272,Greece
Horse Island,157,Ireland
Adavaci Island,102,Fiji
Frenchman's Caye,200,Belize
Aese Island,1690,Vanuatu
Sand Dollar Cay,24,Bahamas
Motu Rauoro,18,French Polynesia
Sawyer's Cay,6,Bahamas
Bonefish Cay 13.5-acres,14,Bahamas
Bird Island,51,Florida
"Blackbook Listing
(2534)",0,US Virgin Islands
Motu Moie,20,French Polynesia
Pierre Island,16,Bahamas
Toberua Island Resort,5,Fiji
Nissos Sofia,44,Greece
Breakwater Island,65,British Columbia
Kelefesia Island,32,Tonga
Dao Island,118,Philippines
Maosonon Island,112,Philippines
Live Oaks Island,12,South Carolina
Johnny's Cay,4,Bahamas
Savage Island Plantation,415,South Carolina
Buck Island SC,10,South Carolina
Janoyoy Island,4,Philippines
Manta Caye,8,Belize
Tragonisi Island,90,Greece
Stroggilo Island,54,Greece
"Blackbook Listing
(2107)",0,Bahamas
Hood Island,4,British Columbia
Tivi Island,150,Fiji
Fishermans Caye,42,Belize
North Saddle Caye,4,Belize
Goat Cay,7,Bahamas
Clapboard Island,22,Maine
Big Fish Cay,55,Bahamas
"Hawks Nest Cay, 26 acres",26,Bahamas
6.5-Acre Private Island Resort,7,Belize
Valiha Island,950,Madagascar
Cerboli Island,10,Italy
Lake Saimaa Development,256,Finland
Montego Caye,119,Belize
Four Islands in Panama,45,Panama
Koome Island,3053,Uganda
Green Island,68,Wisconsin
1 Mandalay Island,3,Florida
Wild Berry Cay,100,Bahamas
Turtle Island Australia,23,Australia
Petite Cay,36,Bahamas
Scott Island,5,British Columbia
Isla Bonita,20,Brazil
Medio Island,99,Philippines
Mai Island,32,Fiji
Little Goat Island,390,South Carolina
AuTrain Island,106,Michigan
Wild Duck Island,300,Australia
Whitestone Island,6,British Columbia
Dumunpalit Island,75,NA
Fazenda Cipo Island,25,Brazil
The Carolina Cays,256,North Carolina
Loud Island,30,Michigan
Moho Caye,8,Belize
Historic Popenhager Camp,21,Florida
Victoria Point Cays,10,Bahamas
Islas Marias,27,Panama
Nukanamo Island,22,Tonga
Benbow Caye,133,Belize
Itaranajá Island,3756,Brazil
Big Gull Island,12,Alaska
Soneva Jani,1,Maldives
Soneva Fushi,1,Maldives
Kadomo Island,70,Fiji
High Cay,31,Bahamas
Bigwood Island,36,Ontario
Mowgli Island,9,NA
Turn Island,82,British Columbia
Jesse Island,9,British Columbia
Vigur Island,111,Iceland
Ligpo Island,1,Philippines
Turtle Caye,19,Belize
Camp Island Silver Shoals Lodge,6,Australia
Goat Island,12,British Columbia
Rainforest Caye,37,Belize
Crescent Island,4,Florida
Dan May Island,72,Florida
Perpall Cayes,158,Bahamas
Hog Island,600,North Carolina
Cayo Geraldo,25,Puerto Rico
Morgans Caye,28,Belize
Island of South Walton,53,Florida
Isla Cui Cui,30,Chile
Tambor and Magotes Islands,15,Panama
Koro Levu Island,8,Fiji
South Cocoplum Caye,6,Belize
Eshpabekong Island Archipelago,17,Ontario
Bull Island,175,British Columbia
Lobster Island,3,Bahamas
Low Cay,25,Bahamas
Bircholm on Deer Island,50,New York
Bullocks Harbour Cay,224,Bahamas
White's Island,143,Maine
Monroe Island,160,Philippines
Vernon Island,22,Antigua
Malvanua Island,26,Vanuatu
San Miguel Archipelago,163,Panama
Pilotin Island,335,Vanuatu
Drowned Caye,95,Belize
Les Isle Mouk Mouk,175,Quebec
Big Bullard Cay,97,Bahamas
Florida Keys Island,15,Florida
Little Horse Island,8,South Carolina
Platanal Island,6,Panama
Lagoon Caye,14,Belize
Tilagica Island,53,Fiji
Black Island,17,Georgia
Davuilau Island,54,Fiji
Veterans Key,29,Florida
Big Strand Island,45,Minnesota
Water Foot Caye,3,Belize
Lamb Island,1,British Columbia
Cistern Cay,82,Bahamas
Isla Gallina,22,Panama
Mclean Island,1200,Missouri
40-Acre Private Island Near Placencia,40,Belize
Ilha de Sao Joao,5,Brazil
Pimlico Island,55,Bahamas
West Ballenas Island,100,British Columbia
Bijela Island,8,Croatia
2.65 Acre Private Island,3,Belize
Paces Mill Island,45,North Carolina
Tinabian Island,99,Philippines
Isla Lacao,206,Chile
Castaway Island,2,Vanuatu
Double Bay Islands,1,Honduras
Halibut Island,10,British Columbia
Ninth Island,40,Australia
Green Paradise Island,32,Philippines
Nsonga Island,149,Uganda
Petit Gauke and Little Petit Gauke Islands,37,Georgia
Morgan's Island,59,South Carolina
Squaw Island,69,Michigan
"Hawks Nest Cay, Cat Island",42,Bahamas
La Sistina,1730,Argentina
Pretty Joe Rock,0,Florida
Prevost Island Lots,10,British Columbia
Pedro Island,3,Belize
Maude Island,1,Alaska
Casco Bay Island,41,Maine
Casco Bay Island,41,New Brunswick
Dunsmuir Island,5,British Columbia
Archipelago Resorts,1,Philippines
Oulton's Island,211,Prince Edward Island
